unit_id,title,created_at,merged,lines_added,lines_deleted,changed_files,looks_revert
PR-139,Dark-mode the remaining white components site-wide,2026-06-03T03:26:56Z,1,247,247,22,0
PR-140,Dark-mode bare form fields (white SF search box + dozens more),2026-06-03T03:34:19Z,1,17,1,2,0
PR-141,Revert to neutral palette site-wide; remap Devices-merge blue to theme vars,2026-06-03T03:43:10Z,1,467,466,30,1
PR-142,Dark-mode status pills: muted tint + light text + outline,2026-06-03T03:48:56Z,1,39,0,1,0
PR-143,Dark-mode accent buttons: muted instead of bright fill,2026-06-03T03:53:16Z,1,18,0,1,0
PR-144,Table is the default landing; Kanban moves to /kanban with a Table toggle,2026-06-03T03:58:15Z,1,50,14,4,0
PR-145,Dark-mode SSO sign-in button: muted,2026-06-03T04:04:46Z,1,12,8,2,0
PR-146,Add in-app user guide (/help) + help icon in the nav,2026-06-03T04:14:20Z,1,565,0,3,0
PR-147,CI: typecheck/lint gate on PRs + Morgan migration runbook (Gitea/NAS + 11:11 hosting),2026-06-03T04:42:56Z,1,461,6,8,0
PR-148,docs(migration): fill Gitea host (NAS 10.0.1.67) + reflect existing accounts,2026-06-03T04:47:22Z,1,17,9,1,0
PR-149,docs(migration): pin confirmed Gitea URL (http://10.0.1.48:8418 v1.21.11),2026-06-03T05:05:03Z,1,17,15,1,0
PR-150,docs(cognito): add paste-ready env blocks (backend + frontend),2026-06-03T13:13:19Z,1,33,0,1,0
PR-151,chore: Session 9 close-out — session_log + PICKUP + decisions D-077..D-086 + gitignore,2026-06-03T15:53:58Z,1,106,1,4,0
PR-152,security: upgrade Next.js 14.2.35 → 15.5.19 (clears all 5 npm-audit vulns),2026-06-03T20:05:38Z,1,666,549,5,0
PR-153,security: upgrade Laravel 11.52 → 12.61 (clears 9 of 12 backend advisories incl. the high),2026-06-03T20:36:47Z,0,284,191,2,0
PR-154,security: upgrade Laravel 11.52 → 13.13 (clears 9 of 12 backend advisories incl. the high),2026-06-03T20:42:57Z,1,452,376,2,0
PR-155,security(api): gate open endpoints + security headers + rate limit + env CORS,2026-06-03T21:25:34Z,1,120,51,7,0
PR-156,security(model): guard User privilege fields against mass assignment,2026-06-03T21:36:47Z,1,101,41,7,0
PR-157,security(frontend): CSP + security headers on HTML + production checklist,2026-06-03T21:45:38Z,1,93,1,2,0
PR-158,security(auth): move JWT from localStorage to an httpOnly cookie,2026-06-04T03:18:43Z,1,307,105,16,0
PR-159,docs(morgan): Podman containerization handoff (Brainy-style build/ship),2026-06-04T03:23:03Z,1,316,0,2,0
PR-160,chore: Session 10 close-out — session_log + PICKUP + decisions D-087..D-093,2026-06-04T03:33:21Z,1,123,1,3,0
PR-161,docs: MORGAN-HANDOFF (run-with-it migration) + CHANGES-AND-HARDENING,2026-06-04T03:40:32Z,1,345,0,2,0
PR-162,docs(morgan): refresh handoff + hardening for L13/Next15 security pass cookie auth Podman,2026-06-04T04:09:26Z,1,211,48,2,0
